Project Name,City,County_fips,Population,Lat,Long,State,Utility,Utility Type,Developer,System Size (MW-AC),System Size (kW-AC),Year of Interconnection
Anza Solar Farm,Anza,6065,2396,33.5678,-116.6966,CA,Anza Electric Coop Inc,Cooperative,,0.17,170.00,2011
Bakersfield Industrial 1,Bakersfield,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,AES Distributed Energy Inc.,1.00,1000.00,2018
Bakersfield PV 1,Bakersfield,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,AES Distributed Energy Inc.,5.26,5255.00,2018
CSD Anza Community Solar,Mountain Center,,,,,CA,Anza Electric Coop Inc,Cooperative,GRID Alternatives,0.77,768.18,2021
Delano Land 1,McFarland,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,AES Distributed Energy Inc.,1.00,1000.00,2018
Manteca Land 1 (Solar Choice),Manteca,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,AES Distributed Energy Inc.,1.00,1000.00,2018
Merced 1,Los Banos,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,Green Light Energy Corporation,3.00,3000.00,2018
Midway III (97WI 8ME) Project GTSR,Calipatria,,,,,CA,San Diego Gas & Electric Co,Investor Owned,Greenbacker Renewable Energy Company,20.00,20000.00,2018
NRG Community Solar 1,Brawley,,,,,CA,Imperial Irrigation District,Political Subdivision,"NRG, Sol Orchard",6.00,6000.00,2014
Pluman-Sierra Community Solar,Herlong,,,,,CA,Plumas-Sierra Rural Elec Coop,Cooperative,,2.50,2500.00,2017
RE Tranquility 8 Amarillo,Cantua Creek,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,Sempra Energy,2.00,2000.00,2018
Redwood 4 Solar Farm,Bakersfield,,,,,CA,Pacific Gas & Electric Co.,Investor Owned,"8minutenergy Renewables, LLC",2.00,2000.00,2018
Roseville Solective,Roseville,,,,,CA,City of Roseville - (CA),Municipal,Clean Focus Inc,0.96,960.00,2019
